median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
237500.00,3.13,39.00,854.00,242.00,389.00,228.00,37.81,-122.25
350000.00,2.58,52.00,2155.00,701.00,895.00,613.00,37.81,-122.25
335700.00,2.84,34.00,5871.00,1914.00,2689.00,1789.00,37.81,-122.26
313400.00,4.93,52.00,1509.00,225.00,674.00,244.00,37.82,-122.24
268500.00,3.27,52.00,2026.00,482.00,709.00,456.00,37.81,-122.24
259400.00,3.17,52.00,1758.00,460.00,686.00,422.00,37.81,-122.25
275700.00,3.90,52.00,3481.00,751.00,1444.00,718.00,37.82,-122.24
225000.00,3.91,28.00,3337.00,855.00,1520.00,802.00,37.82,-122.25
262500.00,5.09,52.00,1424.00,289.00,550.00,253.00,37.82,-122.25
218500.00,2.64,32.00,3809.00,1098.00,1806.00,1022.00,37.82,-122.25
255000.00,3.02,26.00,3959.00,1196.00,1749.00,1217.00,37.82,-122.25
224100.00,3.15,52.00,2376.00,559.00,939.00,519.00,37.83,-122.25
243100.00,3.47,35.00,1613.00,428.00,675.00,422.00,37.83,-122.25
231600.00,3.14,52.00,1279.00,287.00,534.00,291.00,37.83,-122.25
218500.00,2.42,28.00,5022.00,1750.00,2558.00,1661.00,37.83,-122.25
234100.00,3.09,52.00,4190.00,1105.00,1786.00,1037.00,37.83,-122.25
327600.00,5.86,50.00,2515.00,399.00,970.00,373.00,37.84,-122.23
347600.00,5.29,47.00,3175.00,454.00,1098.00,485.00,37.84,-122.23
366100.00,5.96,41.00,2576.00,406.00,794.00,376.00,37.83,-122.24
335000.00,4.96,37.00,334.00,54.00,98.00,47.00,37.85,-122.24
373600.00,6.34,52.00,2800.00,411.00,1061.00,403.00,37.85,-122.23
389500.00,5.18,52.00,3529.00,574.00,1177.00,555.00,37.84,-122.24
391100.00,7.24,52.00,2612.00,365.00,901.00,367.00,37.85,-122.24
337300.00,5.46,28.00,5287.00,1048.00,2031.00,956.00,37.85,-122.22
295200.00,7.50,50.00,2935.00,473.00,1031.00,479.00,37.84,-122.22
292300.00,6.02,44.00,3424.00,597.00,1358.00,597.00,37.84,-122.21
411500.00,7.55,40.00,4991.00,674.00,1616.00,654.00,37.83,-122.21
311500.00,6.07,30.00,2211.00,346.00,844.00,343.00,37.84,-122.20
325900.00,7.05,34.00,3038.00,490.00,1140.00,496.00,37.84,-122.21
392600.00,11.60,18.00,1617.00,210.00,533.00,194.00,37.84,-122.19
319300.00,7.49,35.00,2865.00,460.00,1072.00,443.00,37.84,-122.20
333300.00,6.90,34.00,5065.00,788.00,1627.00,766.00,37.83,-122.21
335200.00,8.20,28.00,1326.00,184.00,463.00,190.00,37.83,-122.19
351200.00,8.40,26.00,1589.00,223.00,542.00,211.00,37.83,-122.20
368900.00,6.85,29.00,1791.00,271.00,661.00,269.00,37.83,-122.19
365900.00,8.32,32.00,1835.00,264.00,635.00,263.00,37.82,-122.19
366700.00,7.02,37.00,1229.00,181.00,420.00,176.00,37.82,-122.20
362800.00,6.33,39.00,3770.00,534.00,1265.00,500.00,37.82,-122.20
483300.00,6.36,30.00,292.00,38.00,126.00,52.00,37.81,-122.18
331400.00,7.05,52.00,2375.00,333.00,813.00,350.00,37.82,-122.21
323500.00,6.79,45.00,2964.00,436.00,1067.00,426.00,37.81,-122.20
216700.00,2.89,50.00,2833.00,605.00,1260.00,552.00,37.80,-122.21
233100.00,3.08,38.00,2254.00,535.00,951.00,487.00,37.80,-122.21
296400.00,5.24,52.00,1389.00,212.00,510.00,224.00,37.81,-122.21
273700.00,6.52,52.00,1971.00,335.00,765.00,308.00,37.81,-122.22
227700.00,3.26,52.00,2183.00,465.00,1129.00,460.00,37.80,-122.22
199600.00,3.03,52.00,2286.00,464.00,1073.00,441.00,37.80,-122.22
239800.00,4.54,52.00,2721.00,541.00,1185.00,515.00,37.80,-122.22
270100.00,4.07,52.00,2024.00,339.00,756.00,340.00,37.81,-122.22
302100.00,5.35,52.00,2944.00,536.00,1034.00,521.00,37.81,-122.22
269500.00,3.16,52.00,2033.00,486.00,787.00,459.00,37.80,-122.23
314700.00,4.77,52.00,1433.00,229.00,612.00,213.00,37.81,-122.23
390100.00,8.16,52.00,2927.00,402.00,1021.00,380.00,37.81,-122.22
410300.00,8.88,52.00,2315.00,292.00,861.00,258.00,37.81,-122.23
352400.00,6.86,52.00,2485.00,313.00,953.00,327.00,37.81,-122.24
287300.00,6.03,52.00,1490.00,238.00,634.00,256.00,37.81,-122.24
348700.00,7.51,52.00,2814.00,365.00,878.00,352.00,37.81,-122.23
243800.00,2.75,52.00,2093.00,550.00,918.00,483.00,37.81,-122.24
211500.00,2.19,52.00,888.00,168.00,360.00,175.00,37.80,-122.24
218400.00,3.01,52.00,2087.00,510.00,1197.00,488.00,37.80,-122.25
269900.00,3.67,52.00,2513.00,502.00,1048.00,518.00,37.81,-122.24
218800.00,3.23,46.00,3232.00,835.00,1373.00,747.00,37.81,-122.25
225000.00,2.93,42.00,4120.00,1065.00,1715.00,1015.00,37.80,-122.25
250000.00,2.14,43.00,2364.00,792.00,1359.00,722.00,37.80,-122.25
171400.00,1.61,41.00,1471.00,469.00,1062.00,413.00,37.80,-122.25
193800.00,1.39,29.00,2468.00,864.00,1335.00,773.00,37.80,-122.25
125000.00,2.32,27.00,1632.00,492.00,1171.00,429.00,37.79,-122.24
97500.00,1.78,45.00,1786.00,526.00,1475.00,460.00,37.79,-122.25
125000.00,2.65,50.00,629.00,188.00,742.00,196.00,37.79,-122.25
138800.00,2.18,52.00,1339.00,391.00,1086.00,363.00,37.79,-122.25
116700.00,2.23,36.00,1678.00,606.00,1645.00,543.00,37.80,-122.25
151800.00,1.65,43.00,2344.00,647.00,1710.00,644.00,37.80,-122.25
127000.00,2.27,52.00,996.00,228.00,731.00,228.00,37.80,-122.24
128600.00,2.16,52.00,1591.00,373.00,1118.00,347.00,37.80,-122.24
140600.00,2.13,52.00,1586.00,398.00,1006.00,335.00,37.80,-122.24
182700.00,2.63,47.00,2046.00,588.00,1213.00,554.00,37.80,-122.24
146900.00,2.38,52.00,1192.00,289.00,772.00,257.00,37.80,-122.23
122800.00,2.96,52.00,1803.00,420.00,1321.00,401.00,37.80,-122.24
169300.00,2.52,49.00,2838.00,749.00,1487.00,677.00,37.80,-122.24
126600.00,1.94,52.00,783.00,184.00,488.00,186.00,37.80,-122.23
127900.00,1.90,51.00,1590.00,414.00,949.00,392.00,37.80,-122.23
123500.00,2.25,50.00,1746.00,480.00,1149.00,415.00,37.80,-122.23
111900.00,2.39,52.00,1252.00,299.00,844.00,280.00,37.80,-122.23
112800.00,2.19,43.00,5963.00,1344.00,4367.00,1231.00,37.79,-122.23
107900.00,2.94,52.00,1783.00,395.00,1659.00,412.00,37.79,-122.23
137500.00,1.89,30.00,999.00,264.00,1011.00,263.00,37.79,-122.23
105500.00,2.16,39.00,1469.00,431.00,1464.00,389.00,37.79,-122.24
95500.00,2.13,47.00,1372.00,395.00,1237.00,303.00,37.79,-122.24
116100.00,3.38,52.00,674.00,180.00,647.00,168.00,37.79,-122.24
112200.00,2.25,43.00,1626.00,376.00,1284.00,357.00,37.79,-122.24
75000.00,2.10,51.00,175.00,43.00,228.00,55.00,37.79,-122.25
112500.00,1.60,39.00,461.00,129.00,381.00,123.00,37.79,-122.25
125000.00,3.63,52.00,902.00,237.00,846.00,227.00,37.79,-122.25
115000.00,1.69,20.00,2373.00,779.00,1659.00,676.00,37.80,-122.26
95000.00,1.65,52.00,391.00,128.00,520.00,138.00,37.77,-122.22
96400.00,2.59,52.00,1137.00,301.00,866.00,259.00,37.77,-122.22
72000.00,2.57,52.00,769.00,206.00,612.00,183.00,37.77,-122.23
71300.00,2.64,52.00,472.00,146.00,415.00,126.00,37.78,-122.23
80800.00,3.03,52.00,862.00,215.00,994.00,213.00,37.78,-122.23
128800.00,1.49,50.00,1920.00,530.00,1525.00,477.00,37.78,-122.22
112500.00,1.93,43.00,1420.00,472.00,1506.00,438.00,37.78,-122.23
119400.00,1.48,52.00,986.00,258.00,1008.00,255.00,37.78,-122.23
118100.00,1.60,44.00,2340.00,825.00,2813.00,751.00,37.78,-122.23
122500.00,2.04,48.00,1696.00,396.00,1481.00,343.00,37.79,-122.23
106300.00,2.29,49.00,1175.00,217.00,859.00,219.00,37.79,-122.23
132500.00,2.15,37.00,2343.00,574.00,1608.00,523.00,37.79,-122.22
122700.00,1.62,30.00,610.00,145.00,425.00,140.00,37.79,-122.23
113300.00,1.33,40.00,930.00,199.00,564.00,184.00,37.79,-122.23
109500.00,3.52,44.00,1487.00,314.00,961.00,272.00,37.79,-122.22
164700.00,3.90,52.00,3424.00,690.00,2273.00,685.00,37.79,-122.22
125000.00,3.09,52.00,762.00,190.00,600.00,195.00,37.79,-122.21
124700.00,2.60,46.00,2366.00,575.00,1647.00,527.00,37.79,-122.22
136700.00,2.50,49.00,1826.00,450.00,1201.00,424.00,37.79,-122.22
141700.00,2.80,38.00,3049.00,711.00,2167.00,659.00,37.79,-122.22
150000.00,2.83,29.00,1640.00,376.00,939.00,340.00,37.79,-122.20
138800.00,2.96,47.00,1543.00,307.00,859.00,292.00,37.79,-122.21
139200.00,2.84,34.00,2364.00,557.00,1517.00,516.00,37.79,-122.21
143800.00,2.88,35.00,1745.00,409.00,1143.00,386.00,37.79,-122.21
156500.00,3.07,39.00,2003.00,500.00,1109.00,464.00,37.80,-122.21
151000.00,3.08,39.00,2018.00,447.00,1221.00,446.00,37.80,-122.21
273000.00,4.96,43.00,3045.00,499.00,1115.00,455.00,37.80,-122.20
217100.00,4.77,52.00,1547.00,293.00,706.00,268.00,37.80,-122.20
187100.00,3.49,52.00,3519.00,711.00,1883.00,706.00,37.80,-122.21
239600.00,5.12,41.00,2070.00,354.00,804.00,340.00,37.80,-122.20
229700.00,4.10,48.00,1321.00,263.00,506.00,252.00,37.80,-122.21
257300.00,4.74,48.00,1694.00,259.00,610.00,238.00,37.80,-122.19
246900.00,4.27,46.00,1938.00,341.00,768.00,332.00,37.80,-122.19
179900.00,2.98,50.00,968.00,195.00,462.00,184.00,37.79,-122.19
169600.00,4.17,40.00,1060.00,256.00,667.00,235.00,37.79,-122.20
203300.00,3.85,46.00,2041.00,405.00,1059.00,399.00,37.80,-122.20
263400.00,4.01,52.00,1813.00,271.00,637.00,277.00,37.80,-122.19
231800.00,4.66,45.00,2718.00,451.00,1106.00,454.00,37.79,-122.19
140500.00,2.93,28.00,3144.00,761.00,1737.00,669.00,37.79,-122.19
126000.00,2.30,35.00,1802.00,459.00,1009.00,390.00,37.79,-122.20
122000.00,2.67,49.00,882.00,195.00,737.00,210.00,37.79,-122.20
134700.00,2.62,44.00,1621.00,452.00,1354.00,491.00,37.79,-122.20
139400.00,2.42,45.00,2115.00,533.00,1530.00,474.00,37.79,-122.21
115400.00,2.78,45.00,2021.00,528.00,1410.00,480.00,37.79,-122.20
137300.00,2.74,46.00,2239.00,508.00,1390.00,569.00,37.78,-122.21
137000.00,1.85,52.00,1477.00,300.00,1065.00,269.00,37.78,-122.21
142600.00,2.66,52.00,1056.00,224.00,792.00,245.00,37.78,-122.21
137500.00,3.05,49.00,898.00,244.00,779.00,245.00,37.78,-122.21
111700.00,2.39,44.00,2968.00,710.00,2269.00,610.00,37.78,-122.22
126800.00,1.72,43.00,1702.00,460.00,1227.00,407.00,37.78,-122.21
111300.00,2.63,47.00,881.00,248.00,753.00,241.00,37.78,-122.21
114800.00,2.80,40.00,494.00,114.00,547.00,135.00,37.77,-122.22
102300.00,1.73,50.00,1776.00,473.00,1807.00,440.00,37.78,-122.22
131900.00,2.08,44.00,1678.00,514.00,1700.00,495.00,37.78,-122.22
119100.00,2.49,51.00,1637.00,463.00,1543.00,393.00,37.78,-122.22
80600.00,1.75,52.00,1420.00,314.00,1085.00,300.00,37.76,-122.21
80600.00,4.09,52.00,591.00,173.00,353.00,137.00,37.77,-122.21
88800.00,2.68,52.00,745.00,153.00,473.00,149.00,37.77,-122.21
102400.00,2.43,49.00,2272.00,498.00,1621.00,483.00,37.77,-122.20
98700.00,2.33,46.00,1234.00,375.00,1183.00,354.00,37.77,-122.21
100000.00,2.26,43.00,1017.00,328.00,836.00,277.00,37.77,-122.21
92300.00,1.80,42.00,932.00,254.00,900.00,263.00,37.77,-122.19
94800.00,2.26,39.00,2689.00,597.00,1888.00,537.00,37.77,-122.20
102000.00,2.06,41.00,1547.00,415.00,1024.00,341.00,37.77,-122.20
158400.00,3.54,52.00,2300.00,443.00,1225.00,423.00,37.78,-122.20
121600.00,3.12,39.00,1752.00,399.00,1071.00,376.00,37.78,-122.20
129100.00,2.54,50.00,1867.00,403.00,1128.00,378.00,37.78,-122.20
121400.00,2.90,43.00,2430.00,502.00,1537.00,484.00,37.77,-122.20
102800.00,2.31,44.00,1729.00,414.00,1240.00,393.00,37.78,-122.21
160000.00,2.88,52.00,1026.00,180.00,469.00,168.00,37.78,-122.19
143900.00,3.37,52.00,2170.00,428.00,1086.00,425.00,37.77,-122.19
151200.00,3.51,52.00,2329.00,445.00,1144.00,417.00,37.77,-122.19
164400.00,4.31,52.00,2492.00,415.00,1109.00,375.00,37.78,-122.19
156500.00,3.22,52.00,2198.00,397.00,984.00,369.00,37.78,-122.19
225000.00,3.88,33.00,142.00,31.00,575.00,47.00,37.78,-122.18
174200.00,5.23,49.00,1183.00,205.00,496.00,209.00,37.78,-122.19
166900.00,3.73,52.00,1070.00,193.00,555.00,190.00,37.78,-122.19
163500.00,4.59,45.00,1766.00,332.00,869.00,327.00,37.78,-122.20
253000.00,5.26,39.00,617.00,95.00,236.00,106.00,37.79,-122.18
240700.00,7.09,41.00,1411.00,233.00,626.00,214.00,37.79,-122.18
208100.00,3.97,46.00,2109.00,387.00,922.00,329.00,37.79,-122.18
198100.00,2.95,47.00,1229.00,243.00,582.00,256.00,37.79,-122.19
172800.00,2.67,50.00,954.00,217.00,546.00,201.00,37.79,-122.19
336700.00,5.44,37.00,1643.00,262.00,620.00,266.00,37.81,-122.18
318200.00,6.28,34.00,1355.00,195.00,442.00,195.00,37.80,-122.18
285800.00,6.75,23.00,2317.00,336.00,955.00,328.00,37.80,-122.18
293000.00,7.07,24.00,2459.00,317.00,916.00,324.00,37.77,-122.13
371000.00,5.98,22.00,12842.00,2048.00,4985.00,1967.00,37.79,-122.16
157300.00,3.69,42.00,1524.00,260.00,651.00,267.00,37.78,-122.17
135300.00,2.88,30.00,3326.00,746.00,1704.00,703.00,37.77,-122.17
136700.00,3.42,43.00,1985.00,440.00,1085.00,407.00,37.78,-122.18
160700.00,3.30,50.00,1642.00,322.00,713.00,284.00,37.78,-122.18
140600.00,3.88,49.00,893.00,177.00,468.00,181.00,37.78,-122.17
144000.00,4.17,52.00,653.00,128.00,296.00,121.00,37.78,-122.17
161900.00,4.38,47.00,1256.00,217.00,570.00,218.00,37.77,-122.16
156300.00,4.77,48.00,977.00,194.00,446.00,180.00,37.77,-122.16
176000.00,3.57,45.00,2324.00,397.00,968.00,384.00,37.77,-122.16
145800.00,3.10,39.00,1583.00,349.00,857.00,316.00,37.77,-122.16
141900.00,3.40,39.00,1612.00,342.00,912.00,322.00,37.77,-122.17
90700.00,1.87,31.00,2424.00,533.00,1360.00,452.00,37.77,-122.17
90600.00,1.94,41.00,1594.00,367.00,1074.00,355.00,37.76,-122.17
107900.00,2.18,47.00,2118.00,413.00,965.00,382.00,37.76,-122.17
107000.00,2.29,37.00,1575.00,358.00,933.00,320.00,37.76,-122.18
98200.00,2.43,38.00,1764.00,397.00,987.00,354.00,37.76,-122.17
89500.00,1.95,50.00,1187.00,261.00,907.00,246.00,37.76,-122.18
93800.00,3.91,52.00,754.00,175.00,447.00,165.00,37.76,-122.18
96700.00,1.84,49.00,2308.00,452.00,1299.00,451.00,37.76,-122.18
97500.00,2.08,27.00,909.00,236.00,396.00,157.00,37.77,-122.18
97300.00,2.81,42.00,1180.00,257.00,877.00,268.00,37.77,-122.18
91200.00,1.89,43.00,2018.00,408.00,1111.00,367.00,37.76,-122.18
91400.00,1.71,49.00,1368.00,282.00,790.00,269.00,37.76,-122.19
96200.00,2.28,52.00,2744.00,547.00,1479.00,554.00,37.77,-122.18
120100.00,3.26,51.00,2107.00,471.00,1173.00,438.00,37.77,-122.18
100000.00,2.06,52.00,1748.00,362.00,1029.00,366.00,37.77,-122.18
94700.00,2.47,52.00,2024.00,391.00,1030.00,350.00,37.76,-122.19
85700.00,1.75,47.00,1116.00,259.00,826.00,279.00,37.76,-122.20
89300.00,2.05,41.00,2036.00,510.00,1412.00,454.00,37.77,-122.19
101400.00,2.72,45.00,1852.00,393.00,1132.00,349.00,37.77,-122.19
72500.00,1.21,41.00,921.00,207.00,522.00,159.00,37.76,-122.19
74100.00,1.93,45.00,995.00,238.00,630.00,237.00,37.76,-122.19
70000.00,1.58,36.00,606.00,132.00,531.00,133.00,37.75,-122.20
84600.00,1.41,37.00,2680.00,736.00,1925.00,667.00,37.76,-122.20
81800.00,0.77,38.00,1493.00,370.00,1144.00,351.00,37.76,-122.19
81400.00,1.32,19.00,2207.00,565.00,1481.00,520.00,37.75,-122.19
81800.00,0.80,28.00,856.00,189.00,435.00,162.00,37.75,-122.19
85800.00,1.95,26.00,1293.00,297.00,984.00,303.00,37.76,-122.19
87100.00,1.18,36.00,847.00,212.00,567.00,159.00,37.74,-122.19
83500.00,2.35,42.00,541.00,154.00,380.00,123.00,37.74,-122.18
79700.00,2.15,44.00,1066.00,253.00,825.00,244.00,37.73,-122.19
83400.00,2.51,43.00,707.00,147.00,417.00,155.00,37.74,-122.19
84700.00,1.26,45.00,1528.00,291.00,801.00,287.00,37.73,-122.19
80000.00,2.91,42.00,909.00,215.00,646.00,198.00,37.73,-122.18
76400.00,2.52,43.00,1391.00,293.00,855.00,285.00,37.73,-122.18
79700.00,2.11,44.00,548.00,119.00,435.00,136.00,37.73,-122.18
82400.00,2.46,42.00,4074.00,874.00,2736.00,780.00,37.73,-122.18
97700.00,2.40,41.00,1613.00,445.00,1481.00,414.00,37.74,-122.17
97200.00,2.15,47.00,463.00,134.00,327.00,137.00,37.74,-122.17
101600.00,2.48,43.00,818.00,193.00,494.00,179.00,37.74,-122.17
86500.00,2.16,43.00,1473.00,371.00,1231.00,341.00,37.73,-122.17
90500.00,1.84,35.00,504.00,126.00,323.00,109.00,37.74,-122.18
107600.00,3.03,46.00,1026.00,226.00,749.00,225.00,37.74,-122.17
84200.00,2.25,46.00,769.00,183.00,693.00,178.00,37.74,-122.17
88900.00,2.25,46.00,2103.00,391.00,1339.00,354.00,37.74,-122.18
80700.00,4.05,45.00,330.00,76.00,282.00,80.00,37.75,-122.18
87100.00,1.33,46.00,941.00,218.00,621.00,195.00,37.75,-122.18
85100.00,1.62,38.00,992.00,279.00,732.00,259.00,37.75,-122.17
82000.00,2.17,45.00,990.00,261.00,901.00,260.00,37.75,-122.18
82800.00,1.92,36.00,1126.00,263.00,482.00,150.00,37.75,-122.19
84600.00,2.07,43.00,1036.00,233.00,652.00,213.00,37.75,-122.18
82100.00,1.71,36.00,1047.00,214.00,651.00,166.00,37.75,-122.18
89300.00,2.56,33.00,1280.00,307.00,999.00,286.00,37.76,-122.17
98300.00,1.98,43.00,1587.00,320.00,907.00,306.00,37.75,-122.17
92300.00,2.50,41.00,1257.00,271.00,828.00,230.00,37.75,-122.17
88800.00,2.33,44.00,1218.00,248.00,763.00,254.00,37.75,-122.17
90000.00,1.44,48.00,1751.00,390.00,935.00,349.00,37.75,-122.17
95500.00,2.51,45.00,2299.00,514.00,1437.00,484.00,37.76,-122.16
91700.00,1.56,38.00,2457.00,624.00,1516.00,482.00,37.75,-122.16
100400.00,3.16,47.00,998.00,211.00,597.00,185.00,37.75,-122.17
